Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-09-30,2005-09-29,0.6,,
2005-10-31,2005-10-30,-0.1,,
2005-11-30,2005-12-04,0.0,,
2005-12-31,2006-01-15,0.1,,
2006-01-31,2006-02-05,0.7,,
2006-02-28,2006-03-05,-0.1,,
2006-03-31,2006-04-02,0.3,,
2006-04-30,2006-05-01,0.4,,
2006-05-31,2006-06-04,0.3,,
2006-06-30,2006-07-02,0.1,,
2006-07-31,2006-07-30,0.2,,
2006-08-31,2006-09-03,0.6,,
2006-09-30,2006-09-28,0.0,,
2006-10-31,2006-11-05,0.0,,
2006-11-30,2006-12-03,0.2,,
2006-12-31,2007-01-14,0.3,,
2007-01-31,2007-02-04,0.0,,
2007-02-28,2007-03-04,0.2,,
2007-03-31,2007-04-01,0.5,,
2007-04-30,2007-04-29,0.1,,
2007-05-31,2007-06-03,0.1,,
2007-06-30,2007-07-01,0.2,,
2007-07-31,2007-08-02,0.6,,
2007-08-31,2007-09-02,0.5,,
2007-09-30,2007-09-27,0.2,,
2007-10-31,2007-11-04,0.3,,
2007-11-30,2007-12-02,0.3,,
2007-12-31,2008-01-13,0.6,,
2008-01-31,2008-02-03,0.3,,
2008-02-29,2008-03-02,0.3,,
2008-03-31,2008-03-30,0.4,,
2008-04-30,2008-05-04,0.5,,
2008-05-31,2008-06-01,0.3,,
2008-06-30,2008-06-29,0.5,,
2008-07-31,2008-07-31,0.4,,
2008-08-31,2008-08-31,0.1,,
2008-09-30,2008-10-02,0.4,,
2008-10-31,2008-11-02,-0.2,,
2008-11-30,2008-11-30,-0.6,,
2008-12-31,2009-01-18,-0.2,,
2009-01-31,2009-02-01,0.8,,
2009-02-28,2009-03-01,0.7,,
2009-03-31,2009-04-05,-0.1,,
2009-04-30,2009-05-03,0.0,,
2009-05-31,2009-05-31,-0.3,,
2009-06-30,2009-07-05,0.4,,
2009-07-31,2009-07-30,0.9,,
2009-08-31,2009-08-30,0.0,,
2009-09-30,2009-10-01,0.0,,
2009-10-31,2009-11-01,-0.3,,
2009-11-30,2009-11-29,0.3,,
2009-12-31,2010-01-17,0.3,,
2010-01-31,2010-01-31,0.8,,
2010-02-28,2010-02-28,0.1,,
2010-03-31,2010-03-31,0.5,,
2010-04-30,2010-05-02,0.4,,
2010-05-31,2010-05-30,0.5,,
2010-06-30,2010-07-04,0.3,,
2010-07-31,2010-08-01,0.1,,
2010-08-31,2010-09-05,0.2,,
2010-09-30,2010-10-03,0.1,,
2010-10-31,2010-10-31,0.3,,
2010-11-30,2010-12-05,0.4,,
2010-12-31,2011-01-16,0.2,,
2011-01-31,2011-01-30,0.4,,
2011-02-28,2011-02-27,0.2,,
2011-03-31,2011-04-03,0.6,,
2011-04-30,2011-05-01,0.3,,
2011-05-31,2011-06-05,0.2,,
2011-06-30,2011-07-03,0.0,,
2011-07-31,2011-07-31,0.3,,
2011-08-31,2011-09-04,-0.1,,
2011-09-30,2011-10-02,0.1,,
2011-10-31,2011-10-30,0.1,,
2011-11-30,2011-12-04,-0.1,,
2011-12-31,2012-01-15,0.5,,
2012-01-31,2012-02-05,0.2,,
2012-02-29,2012-03-04,0.1,,
2012-03-31,2012-04-01,0.5,,
2012-04-30,2012-04-29,0.3,,
2012-05-31,2012-06-03,0.0,,
2012-06-30,2012-07-01,-0.2,,
2012-07-31,2012-08-05,0.2,,
2012-08-31,2012-09-02,0.6,,
2012-09-30,2012-09-30,0.2,,
2012-10-31,2012-11-04,0.1,,
2012-11-30,2012-12-02,-0.1,,
2012-12-31,2013-01-13,0.4,,
2013-01-31,2013-02-03,0.3,,
2013-02-28,2013-03-03,0.0,,
2013-03-31,2013-03-27,0.2,,
2013-04-30,2013-05-05,0.3,,
2013-05-31,2013-06-02,0.2,,
2013-06-30,2013-06-30,0.0,,
2013-07-31,2013-08-04,0.5,,
2013-08-31,2013-09-01,0.1,,
2013-09-30,2013-09-29,0.2,,
2013-10-31,2013-11-03,0.1,,
2013-11-30,2013-12-01,0.2,,
2013-12-31,2014-01-19,0.7,,
2014-01-31,2014-02-02,0.1,,
2014-02-28,2014-03-02,0.2,,
2014-03-31,2014-03-30,0.2,,
2014-04-30,2014-05-04,0.4,,
2014-05-31,2014-06-01,0.3,,
2014-06-30,2014-06-29,0.0,,
2014-07-31,2014-08-03,0.2,,
2014-08-31,2014-08-31,0.0,,
2014-09-30,2014-10-05,0.1,,
2014-10-31,2014-11-02,0.2,,
2014-11-30,2014-11-30,0.1,,
2014-12-31,2015-01-18,0.0,,
2015-01-31,2015-02-01,0.1,,
2015-02-28,2015-03-01,0.0,,
2015-03-31,2015-04-01,0.4,,
2015-04-30,2015-05-03,0.3,,
2015-05-31,2015-05-31,0.3,,
2015-06-30,2015-07-05,0.1,,
2015-07-31,2015-08-02,0.2,,
2015-08-31,2015-08-30,0.1,,
2015-09-30,2015-10-04,0.3,,
2015-10-31,2015-11-01,0.0,,
2015-11-30,2015-11-29,0.1,,
2015-12-31,2016-01-17,0.2,,
2016-01-31,2016-01-31,0.4,,
2016-02-29,2016-02-28,-0.2,,
2016-03-31,2016-04-03,0.0,,
2016-04-30,2016-05-01,0.1,,
2016-05-31,2016-06-05,-0.2,,
2016-06-30,2016-07-03,0.6,,
2016-07-31,2016-07-31,-0.3,,
2016-08-31,2016-09-04,0.2,,
2016-09-30,2016-10-02,0.4,,
2016-10-31,2016-10-30,0.2,,
2016-11-30,2016-12-04,0.1,,
2016-12-31,2017-01-15,0.5,,
2017-01-31,2017-02-05,0.6,,
2017-02-28,2017-03-05,-0.3,,
2017-03-31,2017-04-02,0.1,,
2017-04-30,2017-04-30,0.5,,
2017-05-31,2017-06-04,0.0,,
2017-06-30,2017-07-02,0.1,,
2017-07-31,2017-07-30,0.1,,
2017-08-31,2017-09-03,0.1,,
2017-09-30,2017-10-01,0.3,,
2017-10-31,2017-11-05,0.3,,
2017-11-30,2017-12-03,0.2,,
2017-12-31,2018-01-14,0.1,,
2018-01-31,2018-02-04,0.3,,
2018-02-28,2018-03-04,-0.1,,
2018-03-31,2018-04-01,0.1,,
2018-04-30,2018-04-29,0.5,,
2018-05-31,2018-06-03,0.0,,
2018-06-30,2018-07-01,0.0,,
2018-07-31,2018-08-05,0.1,,
2018-08-31,2018-09-02,0.1,,
2018-09-30,2018-09-30,0.3,,
2018-10-31,2018-11-04,0.1,,
2018-11-30,2018-12-02,0.0,,
2018-12-31,2019-01-13,0.4,,
2019-01-31,2019-02-03,-0.1,,
2019-02-28,2019-03-03,0.1,,
2019-03-31,2019-03-31,0.4,,
2019-04-30,2019-05-05,0.2,,
2019-05-31,2019-06-02,0.0,,
2019-06-30,2019-06-30,0.0,,
2019-07-31,2019-08-04,0.3,,
2019-08-31,2019-09-01,0.0,,
2019-09-30,2019-09-29,0.1,,
2019-10-31,2019-11-03,0.1,,
2019-11-30,2019-12-01,0.0,,
2019-12-31,2020-01-12,0.3,,
2020-01-31,2020-02-02,0.3,,
2020-02-29,2020-03-01,-0.1,,
2020-03-31,2020-04-05,0.2,,
2020-04-30,2020-05-03,-0.1,,
2020-05-31,2020-05-31,-1.2,,
2020-06-30,2020-07-05,0.6,,
2020-07-31,2020-08-02,0.9,,
2020-08-31,2020-08-30,0.1,,
2020-09-30,2020-10-04,0.1,,
2020-10-31,2020-11-01,-0.1,,
2020-11-30,2020-11-29,0.3,,
2020-12-31,2021-01-10,0.5,,
2021-01-31,2021-01-31,0.2,,
2021-02-28,2021-02-28,0.1,,
2021-03-31,2021-04-04,0.4,,
2021-04-30,2021-05-02,0.4,,
2021-05-31,2021-05-30,-0.2,,
2021-06-30,2021-07-04,0.4,,
2021-07-31,2021-08-01,0.5,,
2021-08-31,2021-09-05,0.0,,
2021-09-30,2021-10-03,0.3,,
2021-10-31,2021-10-31,0.2,,
2021-11-30,2021-12-05,0.3,,
2021-12-31,2022-01-09,0.2,,
2022-01-31,2022-01-30,0.4,,
2022-02-28,2022-02-27,0.5,,
2022-03-31,2022-04-03,0.8,,
2022-04-30,2022-05-01,-0.1,,
2022-05-31,2022-06-05,1.1,,
2022-06-30,2022-07-03,0.3,,
2022-07-31,2022-07-31,1.2,,
2022-08-31,2022-09-04,-0.5,,
2022-09-30,2022-10-02,0.5,,
2022-10-31,2022-10-30,0.4,,
2022-11-30,2022-12-04,1.0,,
2022-12-31,2023-01-15,0.2,,
2023-01-31,2023-02-05,0.9,,
2023-02-28,2023-03-05,0.4,,
